Lektion;Hebräisch;Deutsch;Wortart;;
4;כסף;Geld;Nomen;;
4;מוֹכֵר / מוכרת;Verkäufer/in;Nomen;;
4;עיתון;Zeitung;Nomen;;
4;שבוע;Woche;Nomen;;
4;תיק;Tasche / Mappe;Nomen;;
4;דְּיוּטִי פְרִי;Duty-free;Nomen;;
4;טַאי צִ'י;Tai Chi;Nomen;;
4;טחינה;Tahini (Sesammus);Nomen;;
4;פספורט;Reisepass;Nomen;;
4;סִיגַרְיָה;Zigarette;Nomen;;
4;זול;billig / günstig;Adjektiv;;
4;נכון;richtig / korrekt;Adjektiv;;
4;היום;heute;Andere;;
4;הכותל המערבי;die Klagemauer;Nomen;;
4;זהו;das ist es / fertig;Andere;;
4;מחר;morgen;Andere;;
4;יום ראשון;Sonntag;Andere;;
4;יום שני;Montag;Andere;;
4;יום שלישי;Dienstag;Andere;;
4;יום רביעי;Mittwoch;Andere;;
4;יום חמישי;Donnerstag;Andere;;
4;יום שישי;Freitag;Andere;;
  יחידה / Einheit 5;;;;;
5;חושב;denken / nachdenken;Verb;;
5;לובש;anziehen / tragen;Verb;;
5;רץ;laufen / rennen;Verb;;
5;שואל;fragen;Verb;;
5;אָלֶף-בֵּית;Alphabet;Nomen;;
5;בגד;Kleidungsstück;Nomen;;
5;בעל;Ehemann / Eigentümer;Nomen;;
5;גְּנִיזָה;Geniza (Archiv);Nomen;;
5;זמן;Zeit;Nomen;;
5;יהודי / יהודייה;Jude / Jüdin;Nomen;;
5;מאה;Jahrhundert (wörtl.: hundert);Nomen;;
5;רב;Rabbiner;Nomen;;
5;שֵׁם;Name;Nomen;;
5;אִי-מֵיל;E-Mail;Nomen;;
5;מוזיקלי;musikalisch;Adjektiv;;
5;ג׳ינס;Jeans;Nomen;;
5;קורס;Kurs;Nomen;;
5;קריירה;Karriere;Nomen;;
5;בשקט;leise / ruhig;Andere;;
5;לאט;langsam;Andere;;
5;מהר;schnell;Andere;;
5;מישהו;jemand;Andere;;
5;קשה;schwer / schwierig;Andere;;
5;מֵה שְמֵךְ?;Wie heißt du? (weibl.);Fragewort;;
5;מֵה שִמְךָ?;Wie heißt du? (männl.);Fragewort;;
5;שמי;mein Name ist / ich heiße;Andere;;
  יחידה / Einheit 6;;;;;
6;חוזר;zurückkehren / zurückgehen;Verb;;
6;מְשַׂחֵק;spielen;Verb;;
6;קם;aufstehen;Verb;;
